Date_and_Time,Temperature_2_8
9/30/2023 23:12,6.44
9/30/2023 23:27,6.38
9/30/2023 23:42,6.38
9/30/2023 23:57,6.31
10-01-2023 00:12,6.31
10-01-2023 00:27,6.25
10-01-2023 00:42,6.25
10-01-2023 00:57,6.31
10-01-2023 01:12,6.5
10-01-2023 01:27,6.63
10-01-2023 01:42,6.81
10-01-2023 01:57,6.88
10-01-2023 02:12,7
10-01-2023 02:27,7.06
10-01-2023 02:42,7.13
10-01-2023 02:57,7.13
10-01-2023 03:12,7.19
10-01-2023 03:27,7.25
10-01-2023 03:42,7.25
10-01-2023 03:57,7.25
10-01-2023 04:12,7.31
10-01-2023 04:27,7.31
10-01-2023 04:42,7.31
10-01-2023 04:57,7.31
10-01-2023 05:12,7.38
10-01-2023 05:27,7.38
10-01-2023 05:42,7.38
10-01-2023 05:57,7.38
10-01-2023 06:12,7.38
10-01-2023 06:27,7.44
10-01-2023 06:42,7.44
10-01-2023 06:57,7.44
10-01-2023 07:12,7.44
10-01-2023 07:27,7.44
10-01-2023 07:42,7.44
10-01-2023 07:57,7.44
10-01-2023 08:12,7.31
10-01-2023 08:27,7.19
10-01-2023 08:42,7.06
10-01-2023 08:57,7
10-01-2023 09:12,6.94
10-01-2023 09:27,6.88
10-01-2023 09:42,6.88
10-01-2023 09:57,6.88
10-01-2023 10:12,6.94
10-01-2023 10:27,6.94
10-01-2023 10:42,7
10-01-2023 10:57,7.06
10-01-2023 11:12,7.13
10-01-2023 11:27,7.19
10-01-2023 11:42,7.25
10-01-2023 11:57,7.25
10-01-2023 12:12,7.31
10-01-2023 12:27,7.38
10-01-2023 12:42,7.5
10-01-2023 12:57,7.56
10-01-2023 13:12,7.56
10-01-2023 13:27,7.63
10-01-2023 13:42,7.63
10-01-2023 13:57,7.69
10-01-2023 14:12,7.69
10-01-2023 14:27,7.69
10-01-2023 14:42,7.75
10-01-2023 14:57,7.81
10-01-2023 15:12,7.81
10-01-2023 15:27,7.81
10-01-2023 15:42,7.81
10-01-2023 15:57,7.88
10-01-2023 16:12,7.88
10-01-2023 16:27,7.88
10-01-2023 16:42,7.88
10-01-2023 16:57,7.88
10-01-2023 17:12,7.88
10-01-2023 17:27,7.88
10-01-2023 17:42,7.88
10-01-2023 17:57,7.81
10-01-2023 18:12,7.81
10-01-2023 18:27,7.75
10-01-2023 18:42,7.75
10-01-2023 18:57,7.69
10-01-2023 19:12,7.63
10-01-2023 19:27,7.56
10-01-2023 19:42,7.5
10-01-2023 19:57,7.44
10-01-2023 20:12,7.44
10-01-2023 20:27,7.38
10-01-2023 20:42,7.31
10-01-2023 20:57,7.25
10-01-2023 21:12,7.19
10-01-2023 21:27,7.19
10-01-2023 21:42,7.13
10-01-2023 21:57,7.06
