,predicted_mean
74648,-18.383961960246587
74649,-18.38338694617646
74650,-18.38281540022872
74651,-18.382247301485833
74652,-18.381682629156433
74653,-18.381121362574557
74654,-18.38056348119888
74655,-18.380008964611974
74656,-18.379457792519556
74657,-18.37890994474974
74658,-18.378365401252307
74659,-18.377824142097975
74660,-18.377286147477648
74661,-18.376751397701724
74662,-18.37621987319934
74663,-18.375691554517683
74664,-18.375166422321264
74665,-18.37464445739121
74666,-18.374125640624566
74667,-18.3736099530336
74668,-18.373097375745093
74669,-18.372587889999664
74670,-18.37208147715107
74671,-18.371578118665536
74672,-18.371077796121074
74673,-18.370580491206795
74674,-18.370086185722258
74675,-18.369594861576797
74676,-18.36910650078885
74677,-18.368621085485312
74678,-18.36813859790088
74679,-18.3676590203774
74680,-18.367182335363214
74681,-18.366708525412534
74682,-18.36623757318479
74683,-18.365769461443993
74684,-18.365304173058117
74685,-18.36484169099847
74686,-18.36438199833906
74687,-18.36392507825598
74688,-18.363470914026802
74689,-18.36301948902995
74690,-18.362570786744097
74691,-18.362124790747576
74692,-18.361681484717746
74693,-18.36124085243043
74694,-18.360802877759298
74695,-18.360367544675285
74696,-18.359934837246
74697,-18.35950473963515
74698,-18.359077236101957
74699,-18.358652311000576
74700,-18.358229948779538
74701,-18.357810133981157
74702,-18.35739285124099
74703,-18.35697808528726
74704,-18.356565820940293
74705,-18.356156043111977
74706,-18.355748736805197
74707,-18.355343887113293
74708,-18.354941479219516
74709,-18.354541498396475
74710,-18.354143930005613
74711,-18.353748759496657
74712,-18.353355972407098
74713,-18.35296555436165
74714,-18.35257749107173
74715,-18.352191768334944
74716,-18.351808372034547
74717,-18.35142728813894
74718,-18.351048502701158
74719,-18.35067200185835
74720,-18.35029777183128
74721,-18.34992579892382
74722,-18.349556069522446
74723,-18.349188570095745
74724,-18.348823287193913
74725,-18.348460207448273
74726,-18.34809931757077
74727,-18.347740604353508
74728,-18.34738405466824
74729,-18.347029655465903
74730,-18.34667739377614
74731,-18.34632725670683
74732,-18.345979231443593
74733,-18.345633305249347
74734,-18.345289465463836
74735,-18.344947699503155
74736,-18.3446079948593
74737,-18.344270339099708
74738,-18.343934719866798
74739,-18.343601124877527
74740,-18.343269541922936
74741,-18.342939958867696
74742,-18.34261236364968
74743,-18.342286744279498
74744,-18.34196308884009
74745,-18.34164138548626
74746,-18.34132162244426
74747,-18.34100378801135
74748,-18.340687870555374
74749,-18.340373858514344
74750,-18.34006174039599
74751,-18.339751504777368
74752,-18.339443140304425
74753,-18.339136635691588
74754,-18.33883197972136
74755,-18.338529161243887
74756,-18.338228169176574
74757,-18.337928992503667
74758,-18.337631620275847
74759,-18.337336041609845
74760,-18.337042245688025
74761,-18.336750221757995
74762,-18.33645995913222
74763,-18.336171447187624
74764,-18.335884675365197
74765,-18.335599633169625
74766,-18.335316310168885
74767,-18.33503469599388
74768,-18.334754780338052
74769,-18.334476552956996
74770,-18.334200003668112
74771,-18.3339251223502
74772,-18.333651898943117
74773,-18.333380323447383
74774,-18.33311038592384
74775,-18.332842076493268
74776,-18.33257538533604
74777,-18.332310302691752
74778,-18.332046818858867
74779,-18.33178492419436
74780,-18.331524609113373
74781,-18.331265864088852
74782,-18.331008679651205
74783,-18.330753046387958
74784,-18.330498954943405
74785,-18.330246396018264
74786,-18.32999536036935
74787,-18.329745838809217
74788,-18.329497822205838
74789,-18.32925130148226
74790,-18.329006267616275
74791,-18.328762711640106
74792,-18.32852062464005
74793,-18.328279997756162
74794,-18.32804082218195
74795,-18.327803089164025
74796,-18.327566790001796
74797,-18.327331916047154
74798,-18.32709845870414
74799,-18.326866409428646
74800,-18.326635759728102
74801,-18.32640650116115
74802,-18.32617862533735
74803,-18.325952123916863
74804,-18.32572698861016
74805,-18.325503211177704
74806,-18.325280783429648
74807,-18.32505969722555
74808,-18.324839944474068
74809,-18.32462151713265
74810,-18.324404407207254
74811,-18.324188606752067
74812,-18.323974107869184
74813,-18.32376090270834
74814,-18.323548983466626
74815,-18.323338342388183
74816,-18.323128971763936
74817,-18.32292086393131
74818,-18.322714011273938
74819,-18.322508406221395
74820,-18.322304041248916
74821,-18.322100908877122
74822,-18.321899001671735
74823,-18.321698312243335
74824,-18.32149883324705
74825,-18.32130055738232
74826,-18.32110347739261
74827,-18.320907586065164
74828,-18.32071287623071
74829,-18.320519340763237
74830,-18.3203269725797
74831,-18.320135764639776
74832,-18.319945709945607
74833,-18.319756801541544
74834,-18.319569032513886
74835,-18.319382395990633
74836,-18.319196885141235
74837,-18.319012493176334
74838,-18.318829213347527
74839,-18.318647038947105
74840,-18.318465963307823
74841,-18.31828597980265
74842,-18.318107081844516
74843,-18.317929262886093
74844,-18.317752516419528
74845,-18.317576835976226
74846,-18.317402215126613
74847,-18.317228647479883
74848,-18.31705612668378
74849,-18.316884646424363
74850,-18.31671420042577
74851,-18.31654478244999
74852,-18.316376386296643
74853,-18.316209005802733
74854,-18.316042634842447
74855,-18.315877267326915
74856,-18.315712897203987
74857,-18.315549518458024
74858,-18.31538712510966
74859,-18.3152257112156
74860,-18.3150652708684
74861,-18.314905798196225
74862,-18.31474728736268
74863,-18.31458973256656
74864,-18.31443312804165
74865,-18.314277468056506
74866,-18.31412274691427
74867,-18.313968958952422
74868,-18.313816098542613
74869,-18.313664160090436
74870,-18.31351313803522
74871,-18.313363026849835
74872,-18.313213821040492
74873,-18.31306551514653
74874,-18.31291810374023
74875,-18.312771581426606
74876,-18.31262594284321
74877,-18.312481182659937
74878,-18.312337295578835
74879,-18.312194276333898
74880,-18.31205211969089
74881,-18.31191082044713
74882,-18.311770373431344
74883,-18.311630773503413
74884,-18.311492015554244
74885,-18.311354094505553
74886,-18.311217005309683
74887,-18.31108074294942
74888,-18.310945302437815
74889,-18.310810678817997
74890,-18.310676867162986
74891,-18.31054386257552
74892,-18.31041166018788
74893,-18.310280255161707
74894,-18.31014964268781
74895,-18.31001981798602
74896,-18.30989077630499
74897,-18.30976251292203
74898,-18.309635023142942
74899,-18.30950830230183
74900,-18.309382345760948
74901,-18.309257148910515
74902,-18.309132707168562
74903,-18.30900901598075
74904,-18.308886070820208
74905,-18.308763867187366
74906,-18.308642400609806
