Mean,Median,Min,Max
14.547,12.0,0.3,31.5
13.557,10.6,0.3,30.6
14.312,10.5,0.0,30.7
11.968,10.0,0.3,31.0
12.868,10.3,0.3,31.2
12.315,10.4,0.0,31.5
12.619,10.3,0.0,31.5
11.947,10.2,0.0,31.9
13.1,10.4,0.3,32.6
13.765,10.6,0.0,32.6
12.79,10.3,0.0,31.9
13.598,10.5,0.0,32.2
