deviceId,sensorTime,vibration mm/s
"WVMS_CC50E30D9E1502","06-09-2023 00:41","17.6"
"WVMS_CC50E30D9E1502","06-09-2023 00:46","18.0"
"WVMS_CC50E30D9E1502","06-09-2023 00:51","17.9"
"WVMS_CC50E30D9E1502","06-09-2023 00:56","18.3"
"WVMS_CC50E30D9E1502","06-09-2023 01:01","17.8"
"WVMS_CC50E30D9E1502","06-09-2023 01:06","17.9"
"WVMS_CC50E30D9E1502","06-09-2023 01:11","18.6"
"WVMS_CC50E30D9E1502","06-09-2023 01:16","17.8"
"WVMS_CC50E30D9E1502","06-09-2023 01:21","17.7"
"WVMS_CC50E30D9E1502","06-09-2023 01:26","20.0"
"WVMS_CC50E30D9E1502","06-09-2023 01:31","17.6"
"WVMS_CC50E30D9E1502","06-09-2023 01:36","17.6"
"WVMS_CC50E30D9E1502","06-09-2023 01:41","18.0"
"WVMS_CC50E30D9E1502","06-09-2023 01:46","18.1"
"WVMS_CC50E30D9E1502","06-09-2023 01:51","19.8"
"WVMS_CC50E30D9E1502","06-09-2023 01:56","20.2"
"WVMS_CC50E30D9E1502","06-09-2023 02:01","17.9"
"WVMS_CC50E30D9E1502","06-09-2023 02:06","17.6"
"WVMS_CC50E30D9E1502","06-09-2023 02:11","19.2"
"WVMS_CC50E30D9E1502","06-09-2023 02:16","19.0"
"WVMS_CC50E30D9E1502","06-09-2023 02:21","23.8"
"WVMS_CC50E30D9E1502","06-09-2023 02:26","17.7"
"WVMS_CC50E30D9E1502","06-09-2023 02:31","19.2"
"WVMS_CC50E30D9E1502","06-09-2023 02:36","17.7"
"WVMS_CC50E30D9E1502","06-09-2023 02:41","17.8"
"WVMS_CC50E30D9E1502","06-09-2023 02:46","21.6"
"WVMS_CC50E30D9E1502","06-09-2023 02:51","19.2"
"WVMS_CC50E30D9E1502","06-09-2023 02:56","23.1"
"WVMS_CC50E30D9E1502","06-09-2023 03:01","17.8"
"WVMS_CC50E30D9E1502","06-09-2023 03:06","18.1"
"WVMS_CC50E30D9E1502","06-09-2023 03:11","18.6"
"WVMS_CC50E30D9E1502","06-09-2023 03:16","23.5"
"WVMS_CC50E30D9E1502","06-09-2023 03:21","17.6"
"WVMS_CC50E30D9E1502","06-09-2023 03:26","17.9"
"WVMS_CC50E30D9E1502","06-09-2023 03:31","17.6"
"WVMS_CC50E30D9E1502","06-09-2023 03:36","18.7"
"WVMS_CC50E30D9E1502","06-09-2023 03:41","18.2"
"WVMS_CC50E30D9E1502","06-09-2023 03:46","18.1"
"WVMS_CC50E30D9E1502","06-09-2023 03:51","19.0"
"WVMS_CC50E30D9E1502","06-09-2023 03:56","18.3"
"WVMS_CC50E30D9E1502","06-09-2023 04:01","18.6"
"WVMS_CC50E30D9E1502","06-09-2023 04:06","18.5"
"WVMS_CC50E30D9E1502","06-09-2023 04:11","19.1"
"WVMS_CC50E30D9E1502","06-09-2023 04:16","18.3"
"WVMS_CC50E30D9E1502","06-09-2023 04:21","18.9"
"WVMS_CC50E30D9E1502","06-09-2023 04:26","19.2"
"WVMS_CC50E30D9E1502","06-09-2023 04:31","18.3"
"WVMS_CC50E30D9E1502","06-09-2023 04:36","18.3"
"WVMS_CC50E30D9E1502","06-09-2023 04:41","20.1"
"WVMS_CC50E30D9E1502","06-09-2023 04:46","18.5"
"WVMS_CC50E30D9E1502","06-09-2023 04:51","19.1"
"WVMS_CC50E30D9E1502","06-09-2023 04:56","20.7"
"WVMS_CC50E30D9E1502","06-09-2023 05:01","18.4"
"WVMS_CC50E30D9E1502","06-09-2023 05:06","18.5"
"WVMS_CC50E30D9E1502","06-09-2023 05:11","18.6"
"WVMS_CC50E30D9E1502","06-09-2023 05:16","18.5"
"WVMS_CC50E30D9E1502","06-09-2023 05:21","18.4"
"WVMS_CC50E30D9E1502","06-09-2023 05:26","20.7"
"WVMS_CC50E30D9E1502","06-09-2023 05:31","23.5"
"WVMS_CC50E30D9E1502","06-09-2023 05:36","18.1"
"WVMS_CC50E30D9E1502","06-09-2023 05:41","22.3"
"WVMS_CC50E30D9E1502","06-09-2023 05:46","18.1"
"WVMS_CC50E30D9E1502","06-09-2023 05:51","18.3"
"WVMS_CC50E30D9E1502","06-09-2023 05:56","18.0"
"WVMS_CC50E30D9E1502","06-09-2023 06:01","19.1"
"WVMS_CC50E30D9E1502","06-09-2023 06:06","21.1"
"WVMS_CC50E30D9E1502","06-09-2023 06:11","18.4"
"WVMS_CC50E30D9E1502","06-09-2023 06:16","24.5"
"WVMS_CC50E30D9E1502","06-09-2023 06:21","18.0"
"WVMS_CC50E30D9E1502","06-09-2023 06:26","18.0"
"WVMS_CC50E30D9E1502","06-09-2023 06:31","18.4"
"WVMS_CC50E30D9E1502","06-09-2023 06:36","18.2"
"WVMS_CC50E30D9E1502","06-09-2023 06:41","18.3"
"WVMS_CC50E30D9E1502","06-09-2023 06:46","19.7"
"WVMS_CC50E30D9E1502","06-09-2023 06:51","20.0"
"WVMS_CC50E30D9E1502","06-09-2023 06:56","18.5"
"WVMS_CC50E30D9E1502","06-09-2023 07:01","22.2"
"WVMS_CC50E30D9E1502","06-09-2023 07:06","18.2"
"WVMS_CC50E30D9E1502","06-09-2023 07:11","23.3"
"WVMS_CC50E30D9E1502","06-09-2023 07:16","18.1"
"WVMS_CC50E30D9E1502","06-09-2023 07:21","18.6"
"WVMS_CC50E30D9E1502","06-09-2023 07:26","23.8"
"WVMS_CC50E30D9E1502","06-09-2023 07:31","18.2"
"WVMS_CC50E30D9E1502","06-09-2023 07:36","18.3"
"WVMS_CC50E30D9E1502","06-09-2023 07:41","18.2"
"WVMS_CC50E30D9E1502","06-09-2023 07:46","18.3"
"WVMS_CC50E30D9E1502","06-09-2023 07:51","18.4"
"WVMS_CC50E30D9E1502","06-09-2023 07:56","18.6"
"WVMS_CC50E30D9E1502","06-09-2023 08:01","18.3"
"WVMS_CC50E30D9E1502","06-09-2023 08:06","18.0"
"WVMS_CC50E30D9E1502","06-09-2023 08:11","18.4"
"WVMS_CC50E30D9E1502","06-09-2023 08:16","18.1"
"WVMS_CC50E30D9E1502","06-09-2023 08:21","17.9"
"WVMS_CC50E30D9E1502","06-09-2023 08:26","18.1"
