Date/Time,vibration (mm/s)
2024-04-01 18:31:00,0.4
2024-04-01 18:32:00,0.4
2024-04-01 18:33:00,0.4
2024-04-01 18:34:00,0.4
2024-04-01 18:35:00,0.4
2024-04-01 18:36:00,0.4
2024-04-01 18:37:00,0.4
2024-04-01 18:38:00,0.4
2024-04-01 18:39:00,0.4
2024-04-01 18:40:00,0.4
2024-04-01 18:41:00,0.4
2024-04-01 18:42:00,0.4
2024-04-01 18:43:00,0.4
2024-04-01 18:44:00,0.4
2024-04-01 18:45:00,0.4
2024-04-01 18:46:00,0.4
2024-04-01 18:47:00,0.4
2024-04-01 18:48:00,0.4
2024-04-01 18:49:00,0.4
2024-04-01 18:50:00,0.4
2024-04-01 18:51:00,0.4
2024-04-01 18:52:00,0.4
2024-04-01 18:53:00,0.4
2024-04-01 18:54:00,0.4
2024-04-01 18:55:00,0.4
2024-04-01 18:56:00,0.4
2024-04-01 18:57:00,0.4
2024-04-01 18:58:00,0.4
2024-04-01 18:59:00,0.4
2024-04-01 19:00:00,0.4
2024-04-01 19:01:00,0.4
2024-04-01 19:02:00,0.4
2024-04-01 19:03:00,0.4
2024-04-01 19:04:00,0.4
2024-04-01 19:05:00,0.4
2024-04-01 19:06:00,0.5
2024-04-01 19:07:00,0.4
2024-04-01 19:08:00,0.4
2024-04-01 19:09:00,0.4
2024-04-01 19:10:00,0.5
2024-04-01 19:11:00,0.5
2024-04-01 19:12:00,0.5
2024-04-01 19:13:00,0.5
2024-04-01 19:14:00,0.5
2024-04-01 19:15:00,0.5
2024-04-01 21:36:00,0.3
2024-04-01 21:37:00,0.3
2024-04-01 21:38:00,0.3
2024-04-01 21:39:00,0.3
2024-04-01 21:40:00,0.3
2024-04-01 21:41:00,0.3
2024-04-01 21:42:00,0.3
2024-04-01 21:43:00,0.6
2024-04-01 23:35:00,1.1
2024-04-01 23:36:00,0.3
2024-04-01 23:37:00,0.3
2024-04-01 23:38:00,0.4
2024-04-01 23:39:00,0.4
2024-04-01 23:40:00,0.3
2024-04-01 23:41:00,0.3
2024-04-01 23:42:00,0.3
2024-04-01 23:43:00,0.3
2024-04-01 23:44:00,0.3
2024-04-01 23:45:00,0.3
2024-04-01 23:46:00,0.3
2024-04-01 23:47:00,0.3
2024-04-02 00:01:00,0.3
2024-04-02 00:02:00,0.4
2024-04-02 00:03:00,0.4
2024-04-02 00:04:00,0.4
2024-04-02 00:05:00,0.3
2024-04-02 00:06:00,0.3
2024-04-02 00:07:00,0.3
2024-04-02 00:08:00,0.3
2024-04-02 00:09:00,0.3
2024-04-02 00:10:00,0.3
2024-04-02 00:11:00,0.3
2024-04-02 00:12:00,0.3
2024-04-02 00:13:00,0.4
2024-04-02 00:14:00,0.4
2024-04-02 00:15:00,0.6
2024-04-02 02:17:00,0.3
2024-04-02 02:18:00,0.3
2024-04-02 02:19:00,0.3
2024-04-02 02:32:00,0.5
2024-04-02 02:33:00,0.4
2024-04-02 02:34:00,0.4
2024-04-02 02:35:00,0.4
2024-04-02 02:36:00,0.4
2024-04-02 02:37:00,0.3
2024-04-02 02:38:00,0.3
2024-04-02 02:39:00,0.3
2024-04-02 02:40:00,0.3
2024-04-02 02:41:00,0.3
2024-04-02 02:42:00,0.3
2024-04-02 02:43:00,0.3
2024-04-02 02:44:00,0.3
2024-04-02 06:57:00,0.4
2024-04-02 06:58:00,0.5
2024-04-02 06:59:00,0.3
2024-04-02 07:00:00,0.4
2024-04-02 07:01:00,0.3
2024-04-02 07:02:00,0.3
2024-04-02 07:03:00,0.3
2024-04-02 07:04:00,0.3
2024-04-02 07:05:00,0.3
2024-04-02 07:06:00,0.3
2024-04-02 07:07:00,0.3
2024-04-02 07:08:00,0.3
2024-04-02 07:09:00,0.3
2024-04-02 07:10:00,0.4
2024-04-02 07:23:00,0.4
2024-04-02 07:24:00,0.4
2024-04-02 07:25:00,0.3
2024-04-02 07:26:00,0.4
2024-04-02 07:27:00,0.3
2024-04-02 07:28:00,0.3
2024-04-02 07:29:00,0.3
2024-04-02 07:30:00,0.3
2024-04-02 07:31:00,0.3
2024-04-02 07:32:00,0.3
2024-04-02 07:33:00,0.3
2024-04-02 07:45:00,0.7
2024-04-02 07:46:00,0.5
2024-04-02 07:47:00,0.4
2024-04-02 07:48:00,0.3
2024-04-02 07:49:00,0.3
2024-04-02 07:50:00,0.4
2024-04-02 07:51:00,0.3
2024-04-02 07:52:00,0.3
2024-04-02 07:53:00,0.3
2024-04-02 07:54:00,0.3
2024-04-02 07:55:00,0.3
2024-04-02 07:56:00,0.3
2024-04-02 07:57:00,0.3
2024-04-02 08:09:00,0.9
2024-04-02 08:10:00,0.8
2024-04-02 08:11:00,0.4
2024-04-02 08:12:00,0.4
2024-04-02 08:13:00,0.3
2024-04-02 08:14:00,0.3
2024-04-02 08:15:00,0.3
2024-04-02 08:16:00,0.3
2024-04-02 08:17:00,0.3
2024-04-02 08:18:00,0.3
2024-04-02 08:19:00,0.3
2024-04-02 08:20:00,0.3
2024-04-02 08:21:00,0.3
2024-04-02 08:22:00,0.3
2024-04-02 08:23:00,0.3
2024-04-02 08:24:00,0.3
2024-04-02 08:25:00,0.3
2024-04-02 08:26:00,0.3
2024-04-02 08:27:00,0.3
2024-04-02 08:28:00,0.3
2024-04-02 08:29:00,0.3
2024-04-02 08:30:00,0.3
2024-04-02 08:31:00,0.3
2024-04-02 08:32:00,0.3
2024-04-02 08:33:00,0.3
2024-04-02 08:34:00,0.3
2024-04-02 08:35:00,0.4
2024-04-02 08:36:00,0.4
2024-04-02 08:37:00,0.3
2024-04-02 08:38:00,0.3
2024-04-02 08:39:00,0.4
2024-04-02 08:40:00,0.4
2024-04-02 08:41:00,0.4
2024-04-02 08:42:00,0.4
2024-04-02 08:43:00,0.4
2024-04-02 08:44:00,0.4
2024-04-02 08:45:00,0.4
2024-04-02 08:46:00,0.4
2024-04-02 08:47:00,0.4
2024-04-02 08:48:00,0.4
2024-04-02 08:49:00,0.4
2024-04-02 08:50:00,0.4
2024-04-02 08:51:00,0.4
2024-04-02 08:52:00,0.4
2024-04-02 08:53:00,0.4
2024-04-02 08:54:00,0.4
2024-04-02 08:55:00,0.4
2024-04-02 08:56:00,0.4
2024-04-02 08:57:00,0.4
2024-04-02 08:58:00,0.4
2024-04-02 08:59:00,0.4
2024-04-02 09:00:00,0.4
2024-04-02 09:01:00,0.4
2024-04-02 09:02:00,0.4
2024-04-02 09:03:00,0.4
2024-04-02 09:04:00,0.4
2024-04-02 09:05:00,0.4
2024-04-02 09:06:00,0.4
2024-04-02 09:07:00,0.4
2024-04-02 09:08:00,0.4
2024-04-02 09:09:00,0.4
2024-04-02 09:10:00,0.4
2024-04-02 09:11:00,0.4
2024-04-02 09:12:00,0.4
2024-04-02 09:13:00,0.4
2024-04-02 09:14:00,0.4
2024-04-02 09:15:00,0.4
2024-04-02 09:16:00,0.4
2024-04-02 09:17:00,0.4
2024-04-02 09:18:00,0.4
2024-04-02 09:19:00,0.4
2024-04-02 09:20:00,0.4
2024-04-02 09:21:00,0.4
2024-04-02 09:22:00,0.4
2024-04-02 09:23:00,0.4
2024-04-02 09:24:00,0.4
2024-04-02 09:25:00,0.4
2024-04-02 09:26:00,0.4
2024-04-02 09:27:00,0.4
2024-04-02 09:28:00,0.4
2024-04-02 09:29:00,0.4
2024-04-02 09:30:00,0.4
2024-04-02 09:31:00,0.4
2024-04-02 09:32:00,0.4
2024-04-02 09:33:00,0.4
2024-04-02 09:34:00,0.4
2024-04-02 09:35:00,0.4
2024-04-02 09:36:00,0.4
2024-04-02 09:37:00,0.4
2024-04-02 09:38:00,0.4
2024-04-02 09:39:00,0.4
2024-04-02 09:40:00,0.4
2024-04-02 09:41:00,0.4
2024-04-02 09:42:00,0.4
2024-04-02 09:43:00,0.4
2024-04-02 09:44:00,0.4
2024-04-02 09:45:00,0.4
2024-04-02 09:46:00,0.4
2024-04-02 09:47:00,0.4
2024-04-02 09:48:00,0.4
2024-04-02 09:49:00,0.4
2024-04-02 09:50:00,0.4
2024-04-02 09:51:00,0.4
2024-04-02 09:52:00,0.4
2024-04-02 09:53:00,0.4
2024-04-02 09:54:00,0.4
2024-04-02 09:55:00,0.4
2024-04-02 09:56:00,0.4
2024-04-02 09:57:00,0.4
2024-04-02 09:58:00,0.4
2024-04-02 09:59:00,0.4
2024-04-02 10:00:00,0.4
2024-04-02 10:01:00,0.4
2024-04-02 10:02:00,0.4
2024-04-02 10:03:00,0.4
2024-04-02 10:04:00,0.4
2024-04-02 10:05:00,0.4
2024-04-02 10:06:00,0.4
2024-04-02 10:07:00,0.4
2024-04-02 10:08:00,0.4
2024-04-02 10:09:00,0.4
2024-04-02 10:10:00,0.4
2024-04-02 10:11:00,0.4
2024-04-02 10:12:00,0.4
2024-04-02 10:13:00,0.4
2024-04-02 10:14:00,0.4
2024-04-02 10:15:00,0.4
2024-04-02 10:16:00,0.4
2024-04-02 10:17:00,0.4
2024-04-02 10:18:00,0.4
2024-04-02 10:19:00,0.4
2024-04-02 10:20:00,0.4
2024-04-02 10:21:00,0.4
2024-04-02 10:22:00,0.4
2024-04-02 10:23:00,0.4
2024-04-02 10:24:00,0.4
2024-04-02 10:25:00,0.4
2024-04-02 10:26:00,0.4
2024-04-02 10:27:00,0.4
2024-04-02 10:28:00,0.4
2024-04-02 10:29:00,0.4
2024-04-02 10:30:00,0.4
2024-04-02 10:31:00,0.4
2024-04-02 10:32:00,0.4
2024-04-02 10:33:00,0.4
2024-04-02 10:34:00,0.4
2024-04-02 10:35:00,0.4
2024-04-02 10:36:00,0.4
2024-04-02 10:37:00,0.4
2024-04-02 10:38:00,0.4
2024-04-02 10:39:00,0.4
2024-04-02 10:40:00,0.4
2024-04-02 10:41:00,0.4
2024-04-02 10:42:00,0.4
2024-04-02 10:43:00,0.4
2024-04-02 10:44:00,0.4
2024-04-02 10:45:00,0.4
2024-04-02 10:46:00,0.4
2024-04-02 10:47:00,0.4
2024-04-02 10:48:00,0.4
2024-04-02 10:49:00,0.4
2024-04-02 10:50:00,0.4
2024-04-02 10:51:00,0.4
2024-04-02 10:52:00,0.4
2024-04-02 10:53:00,0.4
2024-04-02 10:54:00,0.4
2024-04-02 10:55:00,0.4
2024-04-02 10:56:00,0.4
2024-04-02 10:57:00,0.4
2024-04-02 10:58:00,0.4
2024-04-02 10:59:00,0.4
2024-04-02 11:00:00,0.4
2024-04-02 11:01:00,0.4
2024-04-02 11:02:00,0.4
2024-04-02 11:03:00,0.4
2024-04-02 11:04:00,0.4
2024-04-02 11:05:00,0.4
2024-04-02 11:06:00,0.4
2024-04-02 11:07:00,0.4
2024-04-02 11:08:00,0.4
2024-04-02 11:09:00,0.4
2024-04-02 11:10:00,0.4
2024-04-02 11:11:00,0.4
2024-04-02 11:12:00,0.4
2024-04-02 11:13:00,0.4
2024-04-02 11:14:00,0.4
2024-04-02 11:15:00,0.4
2024-04-02 11:16:00,0.4
2024-04-02 11:17:00,0.4
2024-04-02 11:18:00,0.4
2024-04-02 11:19:00,0.4
2024-04-02 11:20:00,0.4
2024-04-02 11:21:00,0.4
2024-04-02 11:22:00,0.4
2024-04-02 11:23:00,0.4
2024-04-02 11:24:00,0.4
2024-04-02 11:25:00,0.4
2024-04-02 11:26:00,0.4
2024-04-02 11:27:00,0.4
2024-04-02 11:28:00,0.4
2024-04-02 11:29:00,0.4
2024-04-02 11:30:00,0.4
2024-04-02 11:31:00,0.4
2024-04-02 11:32:00,0.4
2024-04-02 11:33:00,0.4
2024-04-02 11:34:00,0.4
2024-04-02 11:35:00,0.4
2024-04-02 11:36:00,0.4
2024-04-02 11:37:00,0.4
2024-04-02 11:38:00,0.4
2024-04-02 11:39:00,0.4
2024-04-02 11:40:00,0.4
2024-04-02 11:41:00,0.4
2024-04-02 11:42:00,0.4
2024-04-02 11:43:00,0.4
